"כותרת נקייה","מזהה","כותרת נוכחית","סוג","קישור","הערה","החלטה"
"מי ניצח בבחירות?","4473","מי ניצח בבחירות? (מאמר)","מאמר","https://avinerpedia.vercel.app/content/4473","אותו סוג, תוכן שונה",""
"מי ניצח בבחירות?","4472","מי ניצח בבחירות?","מאמר","https://avinerpedia.vercel.app/content/4472","אותו סוג, תוכן שונה",""
"פורים - הלכות לחייל","5729","פורים - הלכות לחייל (מאמר)","מאמר","https://avinerpedia.vercel.app/content/5729","סוגים שונים",""
"פורים - הלכות לחייל","5730","פורים - הלכות לחייל (שו""ת)","שו""ת","https://avinerpedia.vercel.app/content/5730","סוגים שונים",""
"פורים טיש","5733","פורים טיש (שו""ת)","שו""ת","https://avinerpedia.vercel.app/content/5733","סוגים שונים",""
"פורים טיש","5732","פורים טיש","מאמר","https://avinerpedia.vercel.app/content/5732","סוגים שונים",""
"פרשת בשלח","5931","פרשת בשלח (וידאו)","וידאו","https://avinerpedia.vercel.app/content/5931","אותו סוג, תוכן שונה",""
"פרשת בשלח","5930","פרשת בשלח","וידאו","https://avinerpedia.vercel.app/content/5930","אותו סוג, תוכן שונה",""
"המדינה שחזו הנביאים","2195","המדינה שחזו הנביאים (מאמר)","מאמר","https://avinerpedia.vercel.app/content/2195","סוגים שונים",""
"המדינה שחזו הנביאים","2194","המדינה שחזו הנביאים","וידאו","https://avinerpedia.vercel.app/content/2194","סוגים שונים",""
"ספירת העומר - הלכות תספורת וגילוח","5337","ספירת העומר - הלכות תספורת וגילוח (שו""ת)","שו""ת","https://avinerpedia.vercel.app/content/5337","סוגים שונים",""
"ספירת העומר - הלכות תספורת וגילוח","5336","ספירת העומר - הלכות תספורת וגילוח (וידאו)","וידאו","https://avinerpedia.vercel.app/content/5336","סוגים שונים",""
"חינוך ילדים","2997","חינוך ילדים","וידאו","https://avinerpedia.vercel.app/content/2997","סוגים שונים",""
"חינוך ילדים","2998","חינוך ילדים (שו""ת)","שו""ת","https://avinerpedia.vercel.app/content/2998","סוגים שונים",""
"יום הזיכרון","3241","יום הזיכרון (שו""ת)","שו""ת","https://avinerpedia.vercel.app/content/3241","סוגים שונים",""
"יום הזיכרון","3240","יום הזיכרון (וידאו)","וידאו","https://avinerpedia.vercel.app/content/3240","סוגים שונים",""
"יום ירושלים","3264","יום ירושלים (וידאו)","וידאו","https://avinerpedia.vercel.app/content/3264","סוגים שונים",""
"יום ירושלים","3265","יום ירושלים (שו""ת)","שו""ת","https://avinerpedia.vercel.app/content/3265","סוגים שונים",""
"תפילין של רבנו תם","7758","תפילין של רבנו תם","וידאו","https://avinerpedia.vercel.app/content/7758","סוגים שונים",""
"תפילין של רבנו תם","7759","תפילין של רבנו תם (שו""ת)","שו""ת","https://avinerpedia.vercel.app/content/7759","סוגים שונים",""
"ל""ג בעומר","3786","ל""ג בעומר","מאמר","https://avinerpedia.vercel.app/content/3786","סוגים שונים",""
"ל""ג בעומר","3787","ל""ג בעומר (שו""ת)","שו""ת","https://avinerpedia.vercel.app/content/3787","סוגים שונים",""
"עליה לארץ","5525","עליה לארץ (וידאו)","וידאו","https://avinerpedia.vercel.app/content/5525","סוגים שונים",""
"עליה לארץ","5526","עליה לארץ (מאמר)","מאמר","https://avinerpedia.vercel.app/content/5526","סוגים שונים",""
"ראש חודש","6746","ראש חודש (שו""ת)","שו""ת","https://avinerpedia.vercel.app/content/6746","סוגים שונים",""
"ראש חודש","6745","ראש חודש","וידאו","https://avinerpedia.vercel.app/content/6745","סוגים שונים",""
"תשעה באב - הלכות","7855","תשעה באב - הלכות (שו""ת)","שו""ת","https://avinerpedia.vercel.app/content/7855","סוגים שונים",""
"תשעה באב - הלכות","7854","תשעה באב - הלכות (מאמר)","מאמר","https://avinerpedia.vercel.app/content/7854","סוגים שונים",""
"תרומת איברים","7809","תרומת איברים (שו""ת)","שו""ת","https://avinerpedia.vercel.app/content/7809","סוגים שונים",""
"תרומת איברים","7808","תרומת איברים","וידאו","https://avinerpedia.vercel.app/content/7808","סוגים שונים",""
"מסע צלב הכסף","4679","מסע צלב הכסף","מאמר","https://avinerpedia.vercel.app/content/4679","אותו סוג, תוכן שונה",""
"מסע צלב הכסף","4680","מסע צלב הכסף (מאמר)","מאמר","https://avinerpedia.vercel.app/content/4680","אותו סוג, תוכן שונה",""
"אהבת חינם","128","אהבת חינם (וידאו)","וידאו","https://avinerpedia.vercel.app/content/128","סוגים שונים",""
"אהבת חינם","127","אהבת חינם","וידאו","https://avinerpedia.vercel.app/content/127","סוגים שונים",""
