"נושא-על באתר החדש","נושא באתר הישן","נושא-על באתר הישן","דפים באתר הישן לפי סוג","פריטים פעילים","מה קרה לו","יעד באתר החדש","פריטים ביעד","אוחד יחד עם","הצעה","החלטה","הערה"
"הלכה","הלכה","הלכה","ללא סוג 166 · וידאו 60","225","נשמר בשמו (צורפו אליו נושאים נוספים)","הלכה","1680","קדושה - הלכה (16); יציאה לחו""ל (15); שאלות ותשובות (7); יום טוב - הלכה (6); בעלי חיים - הלכה (3); חגים - הלכה (3)","להשאיר","",""
"הלכה","קדושה - הלכה","הלכה","שו""ת 9 · וידאו 7","16","קופל לנושא-העל (אין לו תת-נושא)","הלכה","1680","הלכה (225); יציאה לחו""ל (15); שאלות ותשובות (7); יום טוב - הלכה (6); בעלי חיים - הלכה (3); חגים - הלכה (3)","לשקול תת-נושא חדש","","תת-נושא אפשרי (לא ברשימה המאוצרת) - כרגע מקופל להורה"
"הלכה","יציאה לחו""ל","הלכה","מאמרים 13 · ללא סוג 1 · וידאו 1","15","קופל לנושא-העל (אין לו תת-נושא)","הלכה","1680","הלכה (225); קדושה - הלכה (16); שאלות ותשובות (7); יום טוב - הלכה (6); בעלי חיים - הלכה (3); חגים - הלכה (3)","לשקול תת-נושא חדש","","תת-נושא אפשרי (לא ברשימה המאוצרת) - כרגע מקופל להורה"
"הלכה","שאלות ותשובות","הלכה","וידאו 7","7","קופל לנושא-העל (אין לו תת-נושא)","הלכה","1680","הלכה (225); קדושה - הלכה (16); יציאה לחו""ל (15); יום טוב - הלכה (6); בעלי חיים - הלכה (3); חגים - הלכה (3)","להשאיר מקופל","","תת-נושא אפשרי (לא ברשימה המאוצרת) - כרגע מקופל להורה"
"הלכה","יום טוב - הלכה","הלכה","מאמרים 3 · שו""ת 3","6","קופל לנושא-העל (אין לו תת-נושא)","הלכה","1680","הלכה (225); קדושה - הלכה (16); יציאה לחו""ל (15); שאלות ותשובות (7); בעלי חיים - הלכה (3); חגים - הלכה (3)","להשאיר מקופל","","תת-נושא אפשרי (לא ברשימה המאוצרת) - כרגע מקופל להורה"
"הלכה","בעלי חיים - הלכה","הלכה","וידאו 3","3","קופל לנושא-העל (אין לו תת-נושא)","הלכה","1680","הלכה (225); קדושה - הלכה (16); יציאה לחו""ל (15); שאלות ותשובות (7); יום טוב - הלכה (6); חגים - הלכה (3)","להשאיר מקופל","","תת-נושא אפשרי (לא ברשימה המאוצרת) - כרגע מקופל להורה"
"הלכה","חגים - הלכה","הלכה","וידאו 3","3","קופל לנושא-העל (אין לו תת-נושא)","הלכה","1680","הלכה (225); קדושה - הלכה (16); יציאה לחו""ל (15); שאלות ותשובות (7); יום טוב - הלכה (6); בעלי חיים - הלכה (3)","להשאיר מקופל","","תת-נושא אפשרי (לא ברשימה המאוצרת) - כרגע מקופל להורה"
"הלכה","אבילות","הלכה","שו""ת 4 · וידאו 2","6","שם שונה","הלכה › אבלות","21","","להשאיר (שם נרדף בחיפוש)","",""
"הלכה","אבלות - הלכות","הלכה","מאמרים 15","14","שם שונה","הלכה › אבלות › הלכות אבלות","14","","להשאיר (שם נרדף בחיפוש)","","רמה שלישית: הלכות"
"הלכה","בין אדם לחבירו- הלכה","הלכה","מאמרים 23","23","שם שונה","הלכה › בין אדם לחברו","108","","להשאיר (שם נרדף בחיפוש)","",""
