"נושא מקור","פריטים","סיווג","יעד בעץ החדש","הערה","הורים במקור"
"שיעורי ארח""צ מהישיבה","907","אוסף/מכל","מקור: ישיבת עטרת ירושלים","","שיעורים מישיבת עטרת ירושלים | ישיבת עטרת ירושלים"
"ישיבת עטרת ירושלים","665","אוסף/מכל","מקור: ישיבת עטרת ירושלים","","שיעורים מישיבת עטרת ירושלים"
"אקטואליה","542","נושא סינון","אקטואליה ותרבות › אקטואליה","","מיוחדים"
"עם ישראל","392","נושא סינון","מדינת ישראל וצה""ל › גאולת ישראל וציונות","","מדינת ישראל | אמונה"
"צה""ל","301","נושא סינון","מדינת ישראל וצה""ל › צה""ל וביטחון","","מדינת ישראל | אקטואליה"
"תורה","272","נושא סינון","תורה ולימוד","",""
"פרשת השבוע","245","פרשת השבוע","תורה ולימוד › פרשת השבוע","","תורה"
"הלכה","226","נושא סינון","הלכה","",""
"המדינה אתחלתא דגאולה","212","נושא סינון","מדינת ישראל וצה""ל › גאולת ישראל וציונות","","מדינת ישראל | אמונה"
"לימוד תורה","212","נושא סינון","תורה ולימוד › לימוד תורה","","חינוך | תורה"
"חינוך ילדים","210","נושא סינון","חינוך › חינוך ילדים","","חינוך"
"אישים","196","נושא סינון","אישים","","מיוחדים"
"ארץ ישראל","193","נושא סינון","מדינת ישראל וצה""ל › ארץ ישראל","","מדינת ישראל | אמונה"
"אמונה","190","נושא סינון","אמונה","",""
"פוליטיקה ובחירות","185","נושא סינון","מדינת ישראל וצה""ל › פוליטיקה ובחירות","","מדינת ישראל"
"צניעות","175","נושא סינון","הלכה › צניעות","","הלכה | מוסר ומידות"
"פרשת שבוע","159","פרשת השבוע","תורה ולימוד › פרשת השבוע","","תורה"
"הלכות ציבור","147","נושא סינון","הלכה › הלכות ציבור","","הלכה | מדינת ישראל"
"הרב קוק","133","נושא סינון","אישים › הרב קוק","","תורה | אמונה | אישים"
"מדינת ישראל","120","נושא סינון","מדינת ישראל וצה""ל","",""
"שאלות כלליות באמונה","119","נושא סינון","אמונה › שאלות באמונה","","אמונה"
"נשים","116","נושא סינון","זוגיות ומשפחה › נשים","","מיוחדים | זוגיות ומשפחה | מוסר ומידות"
"תפילה","113","נושא סינון","תפילה","",""
"מידות","111","נושא סינון","מוסר ומידות › מידות","","מוסר ומידות"
"סכסוך ישראלי - ערבי","109","נושא סינון","מדינת ישראל וצה""ל › הסכסוך הישראלי-ערבי","","מדינת ישראל"
"תלמידי חכמים","103","נושא סינון","תורה ולימוד › תלמידי חכמים ואמונת חכמים","","תורה"
"זוגיות ומשפחה","98","נושא סינון","זוגיות ומשפחה","",""
"אורח חיים","89","ציר שו""ת","ציר שו""ת: אורח חיים","",""
"חינוך","88","נושא סינון","חינוך","",""
"שונות - הלכה","84","נושא סינון","הלכה › מצוות ומנהגים","","הלכה"
"פסח","83","נושא סינון","חגים ומועדים › פסח וספירת העומר","","מועדים | חגים - הלכה"
"סגולות ואמונות שונות","83","נושא סינון","אמונה › סגולות ואמונות טפלות","","אמונה"
"צרות וקשיים","77","נושא סינון","אמונה › צרות וקשיים","","אמונה | מיוחדים | עבודת ה'"
"זוגיות במקורות","77","נושא סינון","זוגיות ומשפחה › חיי זוגיות","","זוגיות ומשפחה"
"שו""ת","77","אוסף/מכל","מכל (סוג תוכן)","","הלכה"
"שמירת הלשון","76","נושא סינון","מוסר ומידות › שמירת הלשון | הלכה › בין אדם לחברו › שמירת הלשון","","הלכה | מוסר ומידות | חושן משפט"
"עבודת המידות","75","נושא סינון","מוסר ומידות › מידות","","מוסר ומידות | מידות"
"דיני ממונות","71","נושא סינון","הלכה › דיני ממונות","","הלכה"
"יורה דעה","71","ציר שו""ת","ציר שו""ת: יורה דעה","",""
"בריאות","69","נושא סינון","הלכה › רפואה ופיקוח נפש","","מוסר ומידות"
"תורה ומדע","68","נושא סינון","אמונה › תורה ומדע","","אמונה | תורה"
"חיי הפרט","63","נושא סינון","מוסר ומידות › מוסר בחיי הפרט","","מדינת ישראל"
"שבת - הלכה","63","נושא סינון","הלכה › שבת","","הלכה"
"פסיקת הלכה","62","נושא סינון","הלכה › פסיקת הלכה","","תורה | הלכה"
"שונות","62","מקופל (מועמד לתת-נושא)","תורה ולימוד › לימוד תורה","תת-נושא אפשרי (לא ברשימה המאוצרת) - כרגע מקופל להורה","מיוחדים"
"תפילה - הלכה","62","נושא סינון","תפילה › הלכות תפילה","","הלכה | תפילה"
"מאמרים מיוחדים","62","אוסף/מכל","מקור: מאמרים מיוחדים","","מיוחדים"
"המדינות ואומות העולם","61","נושא סינון","מדינת ישראל וצה""ל › ישראל והעמים","","מדינת ישראל"
"מוסריות מדינית","60","נושא סינון","מדינת ישראל וצה""ל › מוסריות מדינית","","מדינת ישראל | מוסר ומידות"
"שידוכים והכנה לחתונה","60","נושא סינון","זוגיות ומשפחה › שידוכים וחתונה","","זוגיות ומשפחה"
"תשובה","59","נושא סינון","אמונה › תשובה","","אמונה | מוסר ומידות | עבודת ה'"
"הר הבית","59","נושא סינון","מדינת ישראל וצה""ל › הר הבית ובית המקדש","","אמונה | מדינת ישראל | מיוחדים | ארץ ישראל"
"עבודת הזוגיות","56","נושא סינון","זוגיות ומשפחה › חיי זוגיות","","זוגיות ומשפחה"
"חושן משפט","54","ציר שו""ת","ציר שו""ת: חושן משפט","",""
"תורת הראי""ה","53","נושא סינון","אישים › הרב קוק","","תורה"
"אישים בתנ""ך","51","נושא סינון","תורה ולימוד › תנ""ך","","תורה | שיעורים בתנ""ך"
"נצרות","50","נושא סינון","אמונה › דתות ועמים","","מדינת ישראל"
"גוש קטיף והגירוש","50","נושא סינון","מדינת ישראל וצה""ל › גוש קטיף והגירוש","","ארץ ישראל | המדינה אתחלתא דגאולה"
"חנוכה","48","נושא סינון","חגים ומועדים › חנוכה","","מועדים | חגים - הלכה"
"כשרות","47","נושא סינון","הלכה › כשרות ומזון","","הלכה | כשרות ומזון"
"שבת ויום טוב","47","נושא סינון","הלכה › שבת","","הלכה | מועדים | חגים - הלכה"
"שמירת התא המשפחתי","47","נושא סינון","זוגיות ומשפחה › חיי זוגיות","","זוגיות ומשפחה"
"תרבות המערב","47","נושא סינון","אקטואליה ותרבות › תרבות המערב","","חינוך | אמונה | מוסר ומידות"
"נטיות הפוכות","46","נושא סינון","זוגיות ומשפחה › נטיות הפוכות","","מוסר ומידות"
"גאולה ומשיח","45","נושא סינון","אמונה › גאולה ומשיח","","אמונה"
"טבע וסביבה","44","נושא סינון","אקטואליה ותרבות › טבע וסביבה","","מוסר ומידות"
"פסח - הלכה","43","נושא סינון","חגים ומועדים › פסח וספירת העומר › הלכות פסח","רמה שלישית: הלכות","מעגל השנה - הלכה | מעגל השנה"
"פורים","42","נושא סינון","חגים ומועדים › פורים","","מועדים | חגים - הלכה"
"הרבנות הראשית","42","נושא סינון","מדינת ישראל וצה""ל › דת ומדינה","","מדינת ישראל"
"אבן העזר","42","ציר שו""ת","ציר שו""ת: אבן העזר","",""
"גיור - הלכה","41","נושא סינון","הלכה › גיור","","הלכה"
"דבקות בד'","41","נושא סינון","אמונה › עבודת ה'","","חינוך | מוסר ומידות"
"ברכות - הלכה","38","נושא סינון","תפילה › ברכות","","הלכה"
"מצוות הפרט","38","נושא סינון","הלכה › מצוות ומנהגים","","הלכה | מוסר ומידות"
"רפורמים וקונסרבטיבים","36","נושא סינון","אמונה › זרמים ביהדות","","אמונה"
"מוסר חברתי","34","נושא סינון","מוסר ומידות › מוסר חברתי","","מוסר ומידות"
"דפים קא' - ר'","34","אוסף/מכל","מקור: דפים קא' - ר'","","שו""ת סמס - עולם קטן"
"ישיבה","33","נושא סינון","תורה ולימוד › ישיבות ומכינות","","תורה | יורה דעה"
"פוליטיקה","33","נושא סינון","מדינת ישראל וצה""ל › פוליטיקה ובחירות","","אקטואליה | מדינת ישראל"
"זוגיות","32","נושא סינון","זוגיות ומשפחה › חיי זוגיות","","זוגיות ומשפחה"
"אמונת חכמים","32","נושא סינון","תורה ולימוד › תלמידי חכמים ואמונת חכמים","","אמונה | תורה"
"כשרות - הלכה","32","נושא סינון","הלכה › כשרות ומזון","","הלכה"
"חסד","31","נושא סינון","מוסר ומידות › מוסר חברתי","","מוסר ומידות"
"מוסדות חינוך","31","נושא סינון","חינוך › מוסדות חינוך ולימודים","","חינוך"
"עבודת ד'","30","נושא סינון","אמונה › עבודת ה'","","אמונה | מוסר ומידות"
"הלכות שונות","30","נושא סינון","הלכה › מצוות ומנהגים","","הלכה"
"הכנה לחתונה","29","נושא סינון","זוגיות ומשפחה › שידוכים וחתונה","","זוגיות ומשפחה | זוגיות"
"תורה אלוקית","29","נושא סינון","תורה ולימוד › לימוד תורה","","תורה | אמונה"
"טיפול רפואי","29","נושא סינון","הלכה › רפואה ופיקוח נפש","","הלכה"
"יום כיפור","28","נושא סינון","חגים ומועדים › ימים נוראים","","מועדים | חגים - הלכה"
"תרבות הפנאי","28","נושא סינון","אקטואליה ותרבות › תרבות הפנאי","","הלכה | אקטואליה | מוסר ומידות"
"שמיטה - הלכה","27","נושא סינון","חגים ומועדים › שמיטה › הלכות שמיטה","רמה שלישית: הלכות","הלכה"
"דרך ארץ","26","נושא סינון","מוסר ומידות › מוסר חברתי","","מוסר ומידות"
"אינטרנט וסמארטפון","26","נושא סינון","אקטואליה ותרבות › אינטרנט וסמארטפון","","הלכה | חינוך | מיוחדים"
"אהבה","26","נושא סינון","זוגיות ומשפחה › חיי זוגיות","","מוסר ומידות"
"ל""ג בעומר","25","נושא סינון","חגים ומועדים › ל""ג בעומר","","מועדים | חגים - הלכה"
"חנוכה - הלכה","25","נושא סינון","חגים ומועדים › חנוכה › הלכות חנוכה","רמה שלישית: הלכות","מעגל השנה - הלכה | מעגל השנה | הלכה | חגים - הלכה"
"פורים - הלכה","25","נושא סינון","חגים ומועדים › פורים › הלכות פורים","רמה שלישית: הלכות","מעגל השנה - הלכה | מעגל השנה"
"מגזרים ועדות","25","נושא סינון","מדינת ישראל וצה""ל › מגזרים ועדות","","מדינת ישראל"
"ציוצים","25","אוסף/מכל","מקור: ציוצים","","מיוחדים"
"הצלת נפשות - הלכה","24","נושא סינון","הלכה › רפואה ופיקוח נפש","","הלכה"
"יצר הרע","24","נושא סינון","מוסר ומידות › יצר הרע","","מוסר ומידות"
"יורה דעה - איסור והיתר","24","נושא סינון","הלכה › כשרות ומזון","","הלכה"
"ראש הממשלה","23","נושא סינון","מדינת ישראל וצה""ל › פוליטיקה ובחירות","","מדינת ישראל"
"בין אדם לחבירו- הלכה","23","נושא סינון","הלכה › בין אדם לחברו","","הלכה"
"מוסריות","22","נושא סינון","מוסר ומידות › מוסר בחיי הפרט","","מוסר ומידות"
"ראש השנה","22","נושא סינון","חגים ומועדים › ימים נוראים","","מועדים | חגים - הלכה"
"הלכות חברה","22","נושא סינון","הלכה › דיני ממונות","","הלכה"
"סוגיות בגמרא","22","נושא סינון","תורה ולימוד › גמרא וסוגיות","","תורה"
"סוכות - הלכה","22","נושא סינון","חגים ומועדים › סוכות ושמחת תורה › הלכות סוכות","רמה שלישית: הלכות","מעגל השנה - הלכה | חגים - הלכה | מעגל השנה | הלכה"
"תשעה באב ובין המצרים - הלכה","22","תגית","הלכה","משפט ארוך","מעגל השנה - הלכה"
"יום העצמאות","21","נושא סינון","חגים ומועדים › יום העצמאות ויום ירושלים","","מועדים | חגים - הלכה"
"ברכות","21","נושא סינון","תפילה › ברכות","","הלכה | אורח חיים"
"היחס לנצרות","21","נושא סינון","אמונה › דתות ועמים","","דתות הגויים"
"צניעות - מידות","21","נושא סינון","מוסר ומידות › מידות","","מוסר ומידות"
"זהירות","21","נושא סינון","הלכה › רפואה ופיקוח נפש","","הלכה"
"סוכות","20","נושא סינון","חגים ומועדים › סוכות ושמחת תורה","","מועדים"
"בין המצרים","20","נושא סינון","חגים ומועדים › בין המצרים ותעניות","","מועדים | חגים - הלכה"
"הר הבית - הלכה","20","נושא סינון","מדינת ישראל וצה""ל › הר הבית ובית המקדש › הלכות הר הבית","רמה שלישית: הלכות","הלכה"
"נישואין וגירושין - הלכה","18","נושא סינון","הלכה › נישואין ואישות","","הלכה"
"מועדים","18","נושא סינון","חגים ומועדים","",""
"מידות נוספות","18","נושא סינון","מוסר ומידות › מידות","","מוסר ומידות"
"עניינים שונים","18","נושא סינון","הלכה › מצוות ומנהגים","",""
"ספירת העומר","17","נושא סינון","חגים ומועדים › פסח וספירת העומר","","מועדים | הלכה | חגים - הלכה"
"שבועות","17","נושא סינון","חגים ומועדים › שבועות","","מועדים | חגים - הלכה"
"תשעה באב","16","נושא סינון","חגים ומועדים › בין המצרים ותעניות","","מועדים | חגים - הלכה"
"דתות הגויים","16","נושא סינון","אמונה › דתות ועמים","","אמונה"
"קדושה - הלכה","16","מקופל (מועמד לתת-נושא)","הלכה","תת-נושא אפשרי (לא ברשימה המאוצרת) - כרגע מקופל להורה","הלכה"
"דת ומדינה","15","נושא סינון","מדינת ישראל וצה""ל › דת ומדינה","","מדינת ישראל | אקטואליה"
"בית כנסת - הלכה","15","נושא סינון","הלכה › הלכות ציבור","","הלכה"
"ספרים","15","נושא סינון","תורה ולימוד › ספרים","","מיוחדים | תורה"
